natural_language,sql_query
Show all portfolios,SELECT * FROM Portfolios
List all portfolios,SELECT * FROM Portfolios
Fetch all portfolios,SELECT * FROM Portfolios
Retrieve all portfolios,SELECT * FROM Portfolios
Give me all portfolios,SELECT * FROM Portfolios
Display all portfolios,SELECT * FROM Portfolios
What are the all portfolios?,SELECT * FROM Portfolios
Can you show all portfolios?,SELECT * FROM Portfolios
Show all securities,SELECT * FROM FixedIncomeSecurities
List all securities,SELECT * FROM FixedIncomeSecurities
Fetch all securities,SELECT * FROM FixedIncomeSecurities
Retrieve all securities,SELECT * FROM FixedIncomeSecurities
Give me all securities,SELECT * FROM FixedIncomeSecurities
Display all securities,SELECT * FROM FixedIncomeSecurities
What are the all securities?,SELECT * FROM FixedIncomeSecurities
Can you show all securities?,SELECT * FROM FixedIncomeSecurities
Show all holdings,SELECT * FROM PortfolioHoldings
List all holdings,SELECT * FROM PortfolioHoldings
Fetch all holdings,SELECT * FROM PortfolioHoldings
Retrieve all holdings,SELECT * FROM PortfolioHoldings
Give me all holdings,SELECT * FROM PortfolioHoldings
Display all holdings,SELECT * FROM PortfolioHoldings
What are the all holdings?,SELECT * FROM PortfolioHoldings
Can you show all holdings?,SELECT * FROM PortfolioHoldings
Show all valuations,SELECT * FROM Valuations
List all valuations,SELECT * FROM Valuations
Fetch all valuations,SELECT * FROM Valuations
Retrieve all valuations,SELECT * FROM Valuations
Give me all valuations,SELECT * FROM Valuations
Display all valuations,SELECT * FROM Valuations
What are the all valuations?,SELECT * FROM Valuations
Can you show all valuations?,SELECT * FROM Valuations
Show all oci changes,SELECT * FROM OCIChanges
List all oci changes,SELECT * FROM OCIChanges
Fetch all oci changes,SELECT * FROM OCIChanges
Retrieve all oci changes,SELECT * FROM OCIChanges
Give me all oci changes,SELECT * FROM OCIChanges
Display all oci changes,SELECT * FROM OCIChanges
What are the all oci changes?,SELECT * FROM OCIChanges
Can you show all oci changes?,SELECT * FROM OCIChanges
Show holdings where amortized cost is greater than 100000,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
List holdings where amortized cost is greater than 100000,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
Fetch holdings where amortized cost is greater than 100000,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
Retrieve holdings where amortized cost is greater than 100000,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
Give me holdings where amortized cost is greater than 100000,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
Display holdings where amortized cost is greater than 100000,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
What are the holdings where amortized cost is greater than 100000?,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
Can you show holdings where amortized cost is greater than 100000?,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
Show securities with coupon rate less than 5,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
List securities with coupon rate less than 5,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
Fetch securities with coupon rate less than 5,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
Retrieve securities with coupon rate less than 5,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
Give me securities with coupon rate less than 5,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
Display securities with coupon rate less than 5,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
What are the securities with coupon rate less than 5?,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
Can you show securities with coupon rate less than 5?,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
Show valuations with market value equal to 50000,SELECT * FROM Valuations WHERE MarketValue = 50000
List valuations with market value equal to 50000,SELECT * FROM Valuations WHERE MarketValue = 50000
Fetch valuations with market value equal to 50000,SELECT * FROM Valuations WHERE MarketValue = 50000
Retrieve valuations with market value equal to 50000,SELECT * FROM Valuations WHERE MarketValue = 50000
Give me valuations with market value equal to 50000,SELECT * FROM Valuations WHERE MarketValue = 50000
Display valuations with market value equal to 50000,SELECT * FROM Valuations WHERE MarketValue = 50000
What are the valuations with market value equal to 50000?,SELECT * FROM Valuations WHERE MarketValue = 50000
Can you show valuations with market value equal to 50000?,SELECT * FROM Valuations WHERE MarketValue = 50000
Show all holdings ordered by purchase date,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
List all holdings ordered by purchase date,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
Fetch all holdings ordered by purchase date,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
Retrieve all holdings ordered by purchase date,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
Give me all holdings ordered by purchase date,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
Display all holdings ordered by purchase date,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
What are the all holdings ordered by purchase date?,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
Can you show all holdings ordered by purchase date?,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
Show securities ordered by maturity date descending,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
List securities ordered by maturity date descending,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
Fetch securities ordered by maturity date descending,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
Retrieve securities ordered by maturity date descending,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
Give me securities ordered by maturity date descending,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
Display securities ordered by maturity date descending,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
What are the securities ordered by maturity date descending?,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
